Date,HRU,ID.x,ASP,ID.y,Manual
1971-10-30,101,2F05P,55.9,NA,NA
1971-10-31,101,2F05P,58.4,NA,NA
1971-11-01,101,2F05P,62.2,NA,NA
1971-11-02,101,2F05P,77.5,NA,NA
1971-11-03,101,2F05P,83.8,NA,NA
1971-11-04,101,2F05P,87.6,NA,NA
1971-11-05,101,2F05P,102.9,NA,NA
1971-11-06,101,2F05P,104.1,NA,NA
1971-11-07,101,2F05P,104.1,NA,NA
1971-11-08,101,2F05P,105.4,NA,NA
1971-11-09,101,2F05P,113,NA,NA
1971-11-10,101,2F05P,114.3,NA,NA
1971-11-11,101,2F05P,116.3,NA,NA
1971-11-12,101,2F05P,118.1,NA,NA
1971-11-13,101,2F05P,121.4,NA,NA
1971-11-14,101,2F05P,121.9,NA,NA
1971-11-15,101,2F05P,122.2,NA,NA
1971-11-16,101,2F05P,128.3,NA,NA
1971-11-17,101,2F05P,129,NA,NA
1971-11-18,101,2F05P,129.3,NA,NA
1971-11-19,101,2F05P,130.8,NA,NA
1971-11-20,101,2F05P,133.4,NA,NA
1971-11-21,101,2F05P,139.2,NA,NA
1971-11-22,101,2F05P,140.2,NA,NA
1971-11-23,101,2F05P,141,NA,NA
1971-11-24,101,2F05P,141,NA,NA
1971-11-25,101,2F05P,146.1,NA,NA
1971-11-26,101,2F05P,146.1,NA,NA
1971-11-27,101,2F05P,151.1,NA,NA
1971-11-28,101,2F05P,151.1,NA,NA
1971-11-29,101,2F05P,153.7,NA,NA
1971-11-30,101,2F05P,154.9,NA,NA
1971-12-01,101,2F05P,156.2,NA,NA
1971-12-02,101,2F05P,156.2,NA,NA
1971-12-03,101,2F05P,157.5,NA,NA
1971-12-04,101,2F05P,158.8,NA,NA
1971-12-05,101,2F05P,161.3,NA,NA
1971-12-06,101,2F05P,183.9,NA,NA
1971-12-07,101,2F05P,189.7,NA,NA
1971-12-08,101,2F05P,189.7,NA,NA
1971-12-09,101,2F05P,194.3,NA,NA
1971-12-10,101,2F05P,214.6,NA,NA
1971-12-11,101,2F05P,226.1,NA,NA
1971-12-12,101,2F05P,226.1,NA,NA
1971-12-13,101,2F05P,227.3,NA,NA
1971-12-14,101,2F05P,227.3,NA,NA
1971-12-15,101,2F05P,249.9,NA,NA
1971-12-16,101,2F05P,253.7,NA,NA
1971-12-17,101,2F05P,257.8,NA,NA
1971-12-18,101,2F05P,265.9,NA,NA
1971-12-19,101,2F05P,279.1,NA,NA
1971-12-20,101,2F05P,279.4,NA,NA
1971-12-21,101,2F05P,287,NA,NA
1971-12-22,101,2F05P,292.1,NA,NA
1971-12-23,101,2F05P,297.2,NA,NA
1971-12-24,101,2F05P,303.5,NA,NA
1971-12-25,101,2F05P,306.1,NA,NA
1971-12-26,101,2F05P,312.4,NA,NA
1971-12-27,101,2F05P,316.2,NA,NA
1971-12-28,101,2F05P,321.3,NA,NA
1971-12-29,101,2F05P,321.3,NA,NA
1971-12-30,101,2F05P,322.6,NA,NA
1971-12-31,101,2F05P,322.6,NA,NA
1972-01-01,101,2F05P,325.6,NA,NA
1972-01-02,101,2F05P,325.6,NA,NA
1972-01-03,101,2F05P,329.7,NA,NA
1972-01-04,101,2F05P,339.1,NA,NA
1972-01-05,101,2F05P,339.1,NA,NA
1972-01-06,101,2F05P,341.6,NA,NA
1972-01-07,101,2F05P,350.5,NA,NA
1972-01-08,101,2F05P,353.1,NA,NA
1972-01-09,101,2F05P,355.6,NA,NA
1972-01-10,101,2F05P,364.5,NA,NA
1972-01-11,101,2F05P,374.7,NA,NA
